ID,LACT,DIM,MILK,FAT,PROTEIN,BW,DMI,NEL
9194,5,252,39.001,3.5,3.73,734.6153846,26.20112652,1.579250189
1849,1,150,39.908,3.44,3.5,611.5306122,23.61301936,1.692585875
1603,2,77,39.001,3.61,3.52,702.5641026,25.47219608,1.62253567
1904,1,105,37.6405,4.17,3.02,604.6428571,23.76525615,1.723249769
9910,3,287,39.4545,3.58,3.38,741.025641,26.53215363,1.586501299
1948,1,87,34.9195,4.57,3.42,601.8877551,23.4337046,1.714889567
1291,2,274,30.3845,5.54,4.09,738.6446886,26.28430956,1.57577665
9679,4,163,39.001,3.42,3.78,718.3150183,25.7487338,1.586109691
1830,1,122,34.0125,4.83,3.36,607.244898,23.65937105,1.707398925
1975,1,48,35.373,4.35,3.51,595.9183673,22.62882087,1.754652533
9598,4,166,45.35,2.73,2.93,718.8644689,26.17508213,1.612442504
9069,5,274,38.094,3.64,3.65,738.6446886,26.25399065,1.573810074
1773,1,199,38.5475,3.63,3.47,619.0306122,23.70945728,1.680612882
1961,1,91,34.9195,4.54,3.33,602.5,23.4318041,1.71109206
1960,1,80,33.559,4.89,3.34,600.8163265,23.35803095,1.717539104
9916,3,414,34.9195,4.41,3.54,764.2857143,26.92269189,1.56110062
1794,1,154,34.0125,4.63,3.55,612.1428571,23.57655427,1.688573668
1691,1,346,29.931,5.74,3.78,641.5306122,24.20067672,1.659875488
1475,2,156,33.559,4.61,3.71,717.032967,25.75249141,1.589317014
9812,4,163,39.001,3.76,2.93,718.3150183,26.14061237,1.61148647
9921,3,258,32.652,4.8,3.82,735.7142857,26.12595838,1.571932038
1923,1,99,37.187,3.89,3.37,603.7244898,23.32055654,1.697391512
1487,2,209,36.28,4.03,3.49,726.7399267,26.01579854,1.584628334
9759,4,165,39.4545,3.41,3.36,718.6813187,25.84091875,1.591311071
1388,2,185,34.9195,4.18,3.79,722.3443223,25.76212008,1.577832843
9675,4,142,39.908,3.31,3.37,714.4688645,25.72240456,1.593407708
1866,1,135,35.8265,4.18,3.38,609.2346939,23.47945756,1.689627792
1436,2,220,39.4545,3.3,3.53,728.7545788,25.93561839,1.574901893
1890,1,119,30.838,5.34,3.77,606.7857143,23.31038143,1.685277352
1805,1,197,29.931,5.4,4.2,618.7244898,23.39794172,1.660086354
1354,2,297,35.8265,4.16,3.33,742.8571429,26.40435617,1.574304477
